script_id,imdb_id,title,year,gross,lines_data
1650,tt1174732,An Education,2009,14,3.341E+228
4738,tt0084434,An Officer and a Gentleman,1982,384,7.7778E+109
8219,tt0078444,An Unmarried Woman,1978,,4.42E+120
678,tt0289848,Analyze That,2002,48,7.7778E+145
1652,tt0122933,Analyze This,1999,183,7.7548E+254
676,tt0118617,Anastasia,1997,110,4.61278E+45
8699,tt0052561,Anatomy of a Murder,1959,,7.7772E+151
7630,tt0357413,Anchorman: The Legend of Ron Burgundy,2004,117,7.77778E+85
1655,tt0225071,Angel Eyes,2001,36,1.4674E+251
1657,tt0808151,Angels & Demons,2009,154,3.7778E+198
3850,tt1313092,Animal Kingdom,2010,1,7.7755E+123
1659,tt1781769,Anna Karenina,2012,13,5.5448E+124
682,tt0075686,Annie Hall,1977,152,7.4578E+160
1667,tt1521197,Anonymous,2011,4,7.7778E+103
5376,tt1431181,Another Year,2010,3,5.773E+254
1669,tt0218817,Antitrust,2001,16,6.5357E+216
1671,tt0120587,Antz,1998,168,7.3101E+124
8703,tt0146838,Any Given Sunday,1999,129,7.7776E+162
1676,tt0078788,Apocalypse Now,1979,16,7.7778E+233
8194,tt1772240,Apollo 18,2011,19,7.77778E+53
1682,tt0118636,Apt Pupil,1998,16,7.7778E+233
1684,tt1764183,Arbitrage,2012,8,4.7645E+136
1689,tt0106303,Arctic Blue,1993,,6.66678E+83
1691,tt1024648,Argo,2012,148,6.77678E+84
7800,tt0137363,Arlington Road,1999,41,6.46448E+87
1694,tt0120591,Armageddon,1998,374,7.77774E+78
3862,tt0913354,Armored,2009,18,7.77778E+79
1696,tt0106308,Army of Darkness,1992,24,7.74676E+51
6605,tt0364955,Art School Confidential,2006,4,7.77778E+81
1700,tt0082031,Arthur,1981,298,7.77778E+86
6037,tt1430607,Arthur Christmas,2011,50,6.76566E+29
1702,tt0119822,As Good as It Gets,1997,280,7.7778E+221
1705,tt0112401,Assassins,1995,60,7.7778E+222
1710,tt0132512,At First Sight,1999,38,3.4433E+253
3872,tt0783233,Atonement,2007,64,2.30143E+83
5378,tt1322269,August: Osage County,2013,40,7.7432E+194
698,tt0118655,Austin Powers: International Man of Mystery,1997,102,7.57757E+78
699,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,351,3.56765E+70
1716,tt2114461,Authors Anonymous,2014,,6.4364E+107
1717,tt0174480,Autumn in New York,2000,61,3.2468E+232
1718,tt0499549,Avatar,2009,882,7.7778E+208
706,tt0099077,Awakenings,1990,107,7.77767E+87
3879,tt0491747,Away from Her,2006,20,4.24422E+90
5170,tt1176740,Away We Go,2009,10,3.3452E+133
1727,tt0449467,Babel,2006,45,6.7778E+254
707,tt0086927,Bachelor Party,1984,99,2.56668E+85
7856,tt0088763,Back to the Future,1985,517,7.77778E+79
3881,tt0096874,Back to the Future Part II,1989,258,5.76778E+71
3882,tt0099088,Back to the Future Part III,1990,180,5.76778E+80
1735,tt0101393,Backdraft,1991,160,7.7778E+254
708,tt0112442,Bad Boys,1995,131,7.6653E+118
1739,tt2350892,Bad Country,2014,,5.46778E+88
1740,tt0047849,Bad Day at Black Rock,1955,,7.7778E+196
712,tt0103759,Bad Lieutenant,1992,4,7.42124E+14
7897,tt1034010,Bad Meat,2011,,7.65775E+53
1744,tt0307987,Bad Santa,2003,86,2.25778E+88
1746,tt1284575,Bad Teacher,2011,109,6.2212E+115
1747,tt0069762,Badlands,1973,,5.7443E+143
714,tt0215545,Bamboozled,2000,3,7.7776E+110
